Pays,Catégorie,Item,Valeur,Plage,Valeur_nettoyee,Plage_nettoyee,Plage_min,Plage_max
bahrain,buy apartment price,price per square meter to buy apartment in city centre,"2,332.82 €","2,069.11-2,434.24",2.332,"(69.11, 2.434)",69.11,2.434
bahrain,buy apartment price,price per square meter to buy apartment outside of centre,"1,692.12 €","1,460.55-2,921.09",1.692,"(460.55, 2.921)",460.55,2.921
bahrain,salaries and financing,average monthly net salary (after tax),"1,920.19 €",,1.92,,,
bahrain,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",8.16,5.00-10.00,8.16,"(5.0, 10.0)",5.0,10.0
bangladesh,rent per month,apartment (1 bedroom) in city centre,85.79 €,45.32-151.05,85.79,"(45.32, 151.05)",45.32,151.05
bangladesh,rent per month,apartment (1 bedroom) outside of centre,46.12 €,22.66-90.63,46.12,"(22.66, 90.63)",22.66,90.63
bangladesh,rent per month,apartment (3 bedrooms) in city centre,206.36 €,105.74-377.64,206.36,"(105.74, 377.64)",105.74,377.64
bangladesh,rent per month,apartment (3 bedrooms) outside of centre,122.02 €,64.20-226.58,122.02,"(64.2, 226.58)",64.2,226.58
bangladesh,buy apartment price,price per square meter to buy apartment in city centre,684.92 €,"365.84-1,219.45",684.92,"(365.84, 1.219)",365.84,1.219
bangladesh,buy apartment price,price per square meter to buy apartment outside of centre,406.42 €,243.89-755.27,406.42,"(243.89, 755.27)",243.89,755.27
bangladesh,salaries and financing,average monthly net salary (after tax),215.36 €,,215.36,,,
bangladesh,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",10.04,7.50-14.00,10.04,"(7.5, 14.0)",7.5,14.0
barbados,rent per month,apartment (1 bedroom) in city centre,614.70 €,413.50-918.90,614.7,"(413.5, 918.9)",413.5,918.9
barbados,rent per month,apartment (1 bedroom) outside of centre,499.65 €,367.56-918.90,499.65,"(367.56, 918.9)",367.56,918.9
barbados,rent per month,apartment (3 bedrooms) in city centre,"1,617.72 €","1,010.79-2,986.43",1.617,"(10.79, 2.986)",10.79,2.986
barbados,rent per month,apartment (3 bedrooms) outside of centre,"1,112.89 €","689.18-1,562.13",1.112,"(689.18, 1.562)",689.18,1.562
barbados,buy apartment price,price per square meter to buy apartment in city centre,"3,216.15 €","3,216.15-3,216.15",3.216,"(216.15, 3.216)",216.15,3.216
barbados,buy apartment price,price per square meter to buy apartment outside of centre,"3,216.15 €","3,216.15-3,216.15",3.216,"(216.15, 3.216)",216.15,3.216
barbados,salaries and financing,average monthly net salary (after tax),"1,089.87 €",,1.089,,,
barbados,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",5.62,4.00-9.00,5.62,"(4.0, 9.0)",4.0,9.0
belarus,rent per month,apartment (1 bedroom) in city centre,380.54 €,238.35-551.34,380.54,"(238.35, 551.34)",238.35,551.34
belarus,rent per month,apartment (1 bedroom) outside of centre,252.35 €,148.62-349.18,252.35,"(148.62, 349.18)",148.62,349.18
belarus,rent per month,apartment (3 bedrooms) in city centre,683.76 €,420.62-981.44,683.76,"(420.62, 981.44)",420.62,981.44
belarus,rent per month,apartment (3 bedrooms) outside of centre,447.24 €,280.41-672.99,447.24,"(280.41, 672.99)",280.41,672.99
belarus,buy apartment price,price per square meter to buy apartment in city centre,"1,585.96 €","918.90-2,389.14",1.585,"(918.9, 2.389)",918.9,2.389
belarus,buy apartment price,price per square meter to buy apartment outside of centre,"1,011.09 €","689.18-1,332.40",1.011,"(689.18, 1.332)",689.18,1.332
belarus,salaries and financing,average monthly net salary (after tax),542.30 €,,542.3,,,
belarus,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",14.65,12.50-20.00,14.65,"(12.5, 20.0)",12.5,20.0
belgium,rent per month,apartment (1 bedroom) in city centre,846.11 €,"670.00-1,200.00",846.11,"(670.0, 1.2)",670.0,1.2
belgium,rent per month,apartment (1 bedroom) outside of centre,734.15 €,"600.00-1,000.00",734.15,"(600.0, 1.0)",600.0,1.0
belgium,rent per month,apartment (3 bedrooms) in city centre,"1,292.39 €","950.00-2,000.00",1.292,"(950.0, 2.0)",950.0,2.0
belgium,rent per month,apartment (3 bedrooms) outside of centre,"1,089.01 €","820.00-1,650.00",1.089,"(820.0, 1.65)",820.0,1.65
belgium,buy apartment price,price per square meter to buy apartment in city centre,"3,707.98 €","2,500.00-6,000.00",3.707,"(500.0, 6.0)",500.0,6.0
belgium,buy apartment price,price per square meter to buy apartment outside of centre,"2,928.79 €","2,000.00-4,000.00",2.928,"(0.0, 4.0)",0.0,4.0
belgium,salaries and financing,average monthly net salary (after tax),"2,471.07 €",,2.471,,,
belgium,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",3.62,2.30-4.00,3.62,"(2.3, 4.0)",2.3,4.0
belize,rent per month,apartment (1 bedroom) in city centre,447.37 €,182.31-918.90,447.37,"(182.31, 918.9)",182.31,918.9
belize,rent per month,apartment (1 bedroom) outside of centre,353.11 €,137.84-689.18,353.11,"(137.84, 689.18)",137.84,689.18
